No,Nama Perusahaan,Detail,Jenis Barang,Wilayah Pemasaran
2752,SEMESTA TUNAS MANDIRIPerseroan Terbatas (PT)Email :semesta.stm@gmail.com,Merek Barang :WEGStatus :Distributor,"1) Single-phase, open drip proof and totally enclosed fan cooled induction electric motors //  2) Three-phase AC motors, open drip proof and totaly enclosed fan cooled,   squirrel cage and slip ring, low  voltage  induction  electric  motors //  3) Three-phase,  medium and high voltage  induction  motors, open drip proof and totally enclosed fan cooled,  squirrel cage and slip ring motors // 3-1) Spare parts of three-phase (multiphase) AC motors //  4) Single and three-phase electric generators,  low, medium and high voltage, open drip proof and totally enclosed fan cooled up to 75 kVA; up to 12,5 VA; above 12,5 kVA; from 75 kVA to 375 WA; from 75 kVA to 150 kVA ; from 150 kVA to 375 kVA; from 375 kVA to 750 VA; above 750 VA // 5.1) Spare parts for AC Generators (alternators) // 5) Transformers //  5.1) Circuit Breakers // 5.2) Transformer accessories and spare parts // 6) Drives (VSD and Softstarter) // 6.1) Drives (VSD and Softstarter) accessories and spare parts // 7) Engineered Drives, controls and systems // 7.1) Accessories and spare parts // 8) Controls //",Indonesia
2753,LESTARI SENTRA PRATAMAPerseroan Terbatas (PT)Email :lestari@fortace-indonesia.com,Merek Barang :EldisStatus :Agen Tunggal,"MSR Radar Equipment, Primary Radar Equipment, Modern Radar, ATC System, ATC and Radar Simulators, Voice Recording System, Data Processing System, Instrument Flight Procedures, Recording and Logging Systems of Radar Signal and Voice Communication.","Airnav Indonesia (LPPNPI), DGCA Indonesia (Direktorat Jenderal Perhubungan Udara)"
2754,HARRISMA INFORMATIKA JAYAPerseroan Terbatas (PT)Email :info@harrisma.com,Merek Barang :UNVStatus :Distributor,"IP Camera, Network Video Recorder, Digital Video Recorder, Doorbell, Thermal Camera, Face recognition terminal, smart bar, Bracket, Hard disk, Network Storage, Transmission Display & Control, VMS, Heater-Tracker series",Indonesia
2755,PUSAKA TANDIPerseroan Terbatas (PT)Email :alifranky@gmail.com,Merek Barang :HantechStatus :Distributor,Shell & Tube heat Exchanger; Pressure Vessel; Reactor; Column / Tower; Skid / Module; Tank,Indonesia
2756,SUMATERA EGA MEKINKAPerseroan Terbatas (PT)Email :yusuf@egamekinkamdn.com,Merek Barang :BlackmerStatus :Distributor,"Blackmer Sentrifugal (system one) Pump, Blackmer Spare Part for Pumps, Blackmer Vane Pump, Blackmer Gear (Envirogear) Pump, Blackmer Compressor, Blackmer Spare Part for Compressors",Sumatera
2757,MULTI INTER SARANAPerseroan Terbatas (PT)Email :multiintersarana@gmail.com,Merek Barang :TELAGA MAS MULIAStatus :Agen,OCTG Casing/Tubing,Pertamina Hulu Sanga-Sanga dan Pertamina Hulu Energi Offshore North West Java (PHE ONWJ)
2758,NAVI POWERINDO BERDAYAPerseroan Terbatas (PT)Email :admoss.nvp@gmail.com,Merek Barang :DOOSANStatus :Agen,DIESEL ENGINE GENERATOR DAN GAS ENGINE GENERATOR,INDONESIA
2759,SURYA PRIMA ELTRINDOPerseroan Terbatas (PT)Email :sales@ptspe.com,Merek Barang :INDEL BAURUStatus :Agen Tunggal,Fuse Link & Cut Out Polymer,Indonesia
2760,SINERGI MAHARANII SUKSESPerseroan Terbatas (PT)Email :sinergimaharani.pt@gmail.com,Merek Barang :CS SOFTStatus :Agen Tunggal,ATC/ATM Control Systems; ATC/ATM Simulator Systems; Airport ATC Control Systems; Airport Automation/information Systems,"INDONESIA, tidak berlaku untuk kegiatan yang berhubungan dengan Kementerian Pertahanan RI dan TNI Angkatan Udara"
2761,ASIA PACIFIC ENERGIPerseroan Terbatas (PT)Email :asiapacificperkasa@masapajak.com,Merek Barang :DAQING OILFIELD PRODUCTION TECHNOLOGY  INSTITUTEStatus :Agen Tunggal,"SERVICE FOR : 1.SEPARATE LAYER WATER  INJECTION TECHNOLOGIES, 2.SEPARATE LAYER  PRODUCTION TECHNOLOGIES, 3.GAS PRODUCTION  TECHNOLOGIES, 4.WORKOVER AND MATCHING  TECHNOLOGIES. 5.ARTIFICIAL LIFT TECHNOLOGIES,  6.SEPARATE LAYER WELL STIMULATION, 7.TERTIARY  OIL RECOVERY TECHNOLOGIES, 8.SCIENTIFIC  EXPERIMENT AND PRODUCT QUALITY INSPECTION  FOR OIL PRODUCTION ENGINEERING, 9.WORKOVER  RIG, 10.CO2 HUFF AND PUFF, 11.SURFACTANT HUFF  AND PUFF, 12.MECHANICAL WATER DETECTION &  SHUT OFF TECHNOLOGY, 13.WAX PREVENTION AGENT,  14.PROFILE CONTROL AGENT, 15.WAX/ SCALE  REMOVER, 16.WELL KILLING FLUIDS, 17.FRACTURING  FLUIDS, 18.ACIDIZING FLUIDS, 19.WATER INJECTION  DOWNHOLE TOOLS, 20.PCP AND ACCESSORY TOOLS,  21.WELL- KILLING TOOLS, 22.FRACTURING TOOLS,  23.WORKOVER TOOLS, 24.PLUGGING TOOLS",INDONESIA
2762,DELTASINDO RAYA SEJAHTERAPerseroan Terbatas (PT)Email :hernawati@deltasindo.com,Merek Barang :EATONStatus :Distributor,"- Eaton 1P Uninterruptible  Power System & Accessories - Eaton 3P Uninterruptible  Power System, Accessories & Services - Eaton Racks & ePDUs -  Eaton Power Management Software & Connectivity Products",INDONESIA
2763,BORNEO BANGUNAN TANGGUHPerseroan Terbatas (PT)Email :pt.borneobangunantangguh@aol.com,"Merek Barang :Semen Tiga Roda, Rajawali, dan JempolanStatus :Sub Distributor","Portland Composite Cement (PCC) 40 Kg, Portland Composite Cement (PCC) 50 Kg,  Portland Pozzolan Cement (PPC) 40 Kg, Portland Pozzolan Cement (PPC) 50 Kg, Semen Rajawali 40 & 50 Kg, Semen Jempolan 40 & 50 Kg, Semen Putih 40 Kg, Mortar Putih 40 Kg, Mortar Abu 40 Kg",Seluruh provinsi dan kabupaten di Indonesia
2764,LESTARI SENTRA PRATAMAPerseroan Terbatas (PT)Email :lestari@fortace-indonesia.com,Merek Barang :EldisStatus :Agen Tunggal,"MSR Radar Equipment, Primary Radar Equipment, Modern Radar, ATC System, ATC and Radar Simulators, Voice Recording System, Data Processing System, Instrument Flight Procedures, Recording and Logging Systems of Radar Signal and Voice Communication.","Airnav Indonesia (LPPNPI), DGCA Indonesia (Direktorat Jenderal Perhubungan Udara)"
2765,SINERGI MAHARANII SUKSESPerseroan Terbatas (PT)Email :sinergimaharani.pt@gmail.com,Merek Barang :CS SOFTStatus :Agen Tunggal,ATC/ATM Control Systems; ATC/ATM Simulator Systems; Airport ATC Control Systems; Airport Automation/information Systems,"INDONESIA, tidak berlaku untuk kegiatan yang berhubungan dengan Kementerian Pertahanan RI dan TNI Angkatan Udara"
2766,SUMATERA EGA MEKINKAPerseroan Terbatas (PT)Email :yusuf@egamekinkamdn.com,Merek Barang :BlackmerStatus :Distributor,"Blackmer Sentrifugal (system one) Pump, Blackmer Spare Part for Pumps, Blackmer Vane Pump, Blackmer Gear (Envirogear) Pump, Blackmer Compressor, Blackmer Spare Part for Compressors",Sumatera
2767,ENERGI PERSADA SEJAHTERAPerseroan Terbatas (PT)Email :Lsetyawati@energipersadasejahtera.com,Merek Barang :WAUKESHAStatus :Agen Tunggal,GENUINE PARTS,"Saka Indonesia Pangkah Ltd., Petrogas (Basin) Ltd., Energy Equity Epic (Sengkang) PTY. LTD."
2768,DISTRIBUTOR KOMPONEN UTAMAPerseroan Terbatas (PT)Email :hendrian@dku-energy.com,Merek Barang :siemensStatus :Distributor,Factory Automation  PCS757-400,Seluruh Indonesia
2769,FAMILI KITAPerseroan Terbatas (PT)Email :famili2022kita@gmail.com,Merek Barang :GRUNDFOSStatus :Distributor,"Pompa Sentrifugal, type : SP-2, NBG/NKG, Booklet MS 6000, CR, DWK",Kalimantan Timur & Kalimantan Utara
2770,TANKERS PERKAPALAN PERTAMINAKoperasiEmail :koperasitankers1@gmail.com,Merek Barang :WilhelmsenStatus :Distributor,"Wilhelmsen's chemicals, ropes and M&R products",Indonesia
2771,DISTRIBUTOR KOMPONEN UTAMAPerseroan Terbatas (PT)Email :hendrian@dku-energy.com,Merek Barang :ALFA LAVALStatus :Distributor,Units and Spare part Alfa Laval,"PHE OSES, Pertamina Hulu Energi Jambi Merang, Pertamina Hulu Mahakam,Exxon Mobil Cepu Limited, Medco E&P Indonesia,PT Medco E&P Grissik,Medco E&P Natuna Ltd, PT Medco E&P Lematang,PT Medco E&P Malaka,PT Medco E&P Rimau, PT Medco E&P Tarakan,BP Berau, Eni Muara Bakau,Eni Merakes, Harbour Energy,Star Energy Geothermal Gunung Salak,Star energy Geothermal Darajat, Indonesia Power Kamojang"
2772,VOLTONA INDO PERKASAPerseroan Terbatas (PT)Email :info@voltona.com,Merek Barang :DAIGENKOStatus :Distributor Tunggal,ALTERNATOR / GENERATOR,INDONESIA
2773,CONTROMATIC PRIMA MANDIRIPerseroan Terbatas (PT)Email :cpm@contromatic.co.id,Merek Barang :PERARStatus :Agen Tunggal,"Medium and high pressure, floating, trunnion mounted and top entry ball valves according to ANSI/API Norms in all series and diameters, of carbon steel alloy steels, stainless steels and exotic material forming part of pepar products.",Indonesia
2774,PETRINDO SEMESTAPerseroan Terbatas (PT)Email :ga@petrindosemesta.com,Merek Barang :Ariel CorporationStatus :Agen,After Sales Services Of Gas Compressor Packages,1. PHKT (PT Pertamina Hulu Kalimantan Timur) 2. Medco Energi Group 3. Star Energy (Kakap) ltd 4. PLN Nusantara Power 5. PHSS (Pertamina Hulu Sanga Sanga) 6. PAG (Perta Arun Gas) 7. PHM (Pertamina Hulu Mahakam) 8. PHR (Pertamina Hulu Rokan)
2775,DISTRIBUTOR KOMPONEN UTAMAPerseroan Terbatas (PT)Email :hendrian@dku-energy.com,Merek Barang :InnomoticsStatus :Distributor,"Low Voltage motors (IN LVM),High Voltage Motors (INHVM), Medium Voltage Drives  and Systems (in MVD),",Seluruh Indonesia
2776,USAHA JAYAMAS BHAKTIPerseroan Terbatas (PT)Email :usaha.bhakti@yahoo.com,"Merek Barang :""ALUWELL""Status :Distributor",Alumunium Composite Panel,INDONESIA
2777,FAJAR MAS MURNIPerseroan Terbatas (PT)Email :legal@fajarmasmurni.com,Merek Barang :FLEX ENERGYStatus :Agen,"Maintenance and Service for MT250, GT250S and GT333S Systems, including all included and/or attched equipment, accessories, parts, supplies, firmware and software",Indonesia
2778,DISTRIBUTOR KOMPONEN UTAMAPerseroan Terbatas (PT)Email :hendrian@dku-energy.com,Merek Barang :siemensStatus :Distributor,Factory Automation  PCS757-400,Seluruh Indonesia
2779,PIRANTI SARANA TECHNOLOGIPerseroan Terbatas (PT)Email :contact@pirantisarana.co.id,Merek Barang :AvevaStatus :Agen,Service and Maintenance: Piranti Lunak Aplikasi (Application Software),Indonesia
2780,SAHABAT NUSANTARA TEKNOLOGI INOVASIPerseroan Terbatas (PT)Email :admin@santi-group.com,Merek Barang :Begg CouslandStatus :Agen Tunggal,BECOIL Knitted Wire Demisters; BECOFIL Non-wettable Fibre Filters; BECONE Knitted Coalescers; BECOVANE Chevron Blade Vane Packs; BECOFLEX Rotating Brush de-duster Scrubber; BEGG COUSLAND Gas Scrubbing and Filtration Systems; BECOPHASE Liquid/Liquid Separator Systems; Bluefil Structured Mesh Packs; Random Packings and Vessel Internals; Other selected Process Equipment,INDONESIA
2781,GARTALOKA BERSAMAPerseroan Terbatas (PT)Email :purchasing01@bimacorp.com,Merek Barang :PANASONICStatus :Distributor,"LED STREET LIGHT, LED PEDESTRIAN, LED LAMPU TAMAN, LED LAMPU SOROT, LED CEILING UNDERPASS, LED HIGH MAST",Indonesia
2782,WISESA SEJAHTERA RAYAPerseroan Terbatas (PT)Email :wisesasejahteraraya@gmail.com,Merek Barang :LokalStatus :Distributor,T-shirt dan Traningsuit Set Polri,Di Seluruh Wilayah Indonesia
2783,KIAN SANTANG MULIATAMAPerseroan Terbatas (PT)Email :kiansantang.muliatama@gmail.com,Merek Barang :RMGStatus :Agen Tunggal,"- RMG Ultrasonic Meter, - RMG Turbine Meter, - RMG Process Gas Chromatograph and Accessories, - RMG Volumeter, - Electric Volume Counverter",Indonesia
2784,ANUGERAH JAYA LANGGENGPersekutuan Komanditer (CV)Email :anugerahfebruari.2022@gmail.com,Merek Barang :NORITStatus :Agen Tunggal,ACTIVATED  CARBON,MEDCO E&P
2785,SINAROZORA LESTARIPerseroan Terbatas (PT)Email :charlespinardo@yahoo.com,Merek Barang :HPFStatus :Distributor Tunggal,"Panel LED P10 Outdoor, Panel LED P8 Outdoor, Panel LED P5 Outdoor, Panel LED 3D P4 Outdoor, Panel LED P4 Logo Outdoor, Panel LED P3.91 Outdoor, Panel LED P2.5 Outdoor, Panel LED P3.91 Interactive Dance Floor Indoor, Panel LED P3.91 Front Access Indoor, Panel LED P2.5 Front Access + GOB Indoor, Panel LED P2.5 Curved Front Access + GOB Indoor, Panel LED P2.5 Digital Poster + GOB Indoor, Panel LED P2.0 Digital Poster + GOB Indoor, Panel LED P2.0 Front Access + GOB Indoor, Panel LED P2.0 Soft Flexible Front Access Indoor, Panel LED P1.8 Front Access + GOB Indoor, Panel LED P1.5 Front Access + GOB Indoor, Panel LED P1.25 Front Access + GOB Indoor, Panel LED P0.9 Front Access + GOB Indoor.",INDONESIA
2786,CATUR KARSA LESTARIPerseroan Terbatas (PT)Email :pt.caturkarsa@yahoo.co.id,Merek Barang :BLUE STRANDStatus :Sub Agen,Steel Wire Ropes,"Region 2 PT. Pertamina Eksplorasi Produksi (PEP) Zona 7 Field Tambun, Subang, Jatibarang"
2787,ANUGRAH SUKSES MARINEPerseroan Terbatas (PT)Email :ga01@asmarines.com,Merek Barang :DSRStatus :Distributor,Tali Kawat (Wire Rope),"1. a)Java Island, b) Sumatera Island, c) Riau Island, d) Bali Island, e) Sulawesi Island, f)Kalimantan Island Exclusive Distributor Government project.

2.Non-Exclusive distributor in the remaining area of Indonesia."
2788,ANGKASA INDAH MITRAPerseroan Terbatas (PT)Email :perijinan.maria80@aol.com,"Merek Barang :Semen Tiga Roda, Rajawali dan JempolanStatus :Sub Distributor","Portland Composite Cement  (PCC)-40 Kg, Portland Composite Cement (PCC)-50 Kg, Portland Pozzolan Cement (PPC)-40 Kg, Portland Pozzolan Cement-50 Kg, Semen Rajawali 40 & 50 kg, Semen Jempolan 40 & 50 kg, Semen Putih- 40 Kg, Mortar Putih 40 kg, Mortar Abu 40 kg",Seluruh provinsi dan kabupaten di Indonesia
2789,MARTON TEKINDO ABADIPerseroan Terbatas (PT)Email :mtaho@marton.co.id,Merek Barang :ROBITStatus :Distributor Tunggal,"Bits, Rods, Couplings, Shank Adapters,",Seluruh Wilayah Indonesia
2790,INDOTEST MULTI LABORATAMAPersekutuan Komanditer (CV)Email :cv.indotest@gmail.com,Merek Barang :MATESTStatus :Distributor,MATERIAL TESTING EQUIPMENT,DI WILAYAH SELURUH INDONESIA
2791,MEGA SENTOSA MANDIRIPerseroan Terbatas (PT)Email :info@megasentosa.com,Merek Barang :PMI (Power Management Instruments)Status :Distributor,"DC CHARGER SYSTEMS, UPS INDUSTRIAL SYSTEMS, INDUSTRIAL BATTEERIES, INVERTER AND AC/DC DISTRIBUTION BOARD",Indonesia
2792,KIAN SANTANG MULIATAMAPerseroan Terbatas (PT)Email :kiansantang.muliatama@gmail.com,Merek Barang :RMGStatus :Agen Tunggal,"- RMG Ultrasonic Meter, - RMG Turbine Meter, - RMG Process Gas Chromatograph and Accessories, - RMG Volumeter, - Electric Volume Counverter",Indonesia
2793,WISESA SEJAHTERA RAYAPerseroan Terbatas (PT)Email :wisesasejahteraraya@gmail.com,Merek Barang :LokalStatus :Distributor,T-shirt dan Traningsuit Set Polri,Di Seluruh Wilayah Indonesia
2794,HANATEKINDO MULIA ABADIPerseroan Terbatas (PT)Email :info@hanatekindo.co.id,Merek Barang :LEGANOStatus :Distributor,Furniture/Meubelair,INDONESIA
2795,ANUGERAH JAYA LANGGENGPersekutuan Komanditer (CV)Email :anugerahfebruari.2022@gmail.com,Merek Barang :NORITStatus :Agen Tunggal,ACTIVATED  CARBON,MEDCO E&P
2796,CIPTA TEKNIK UTAMAPerseroan Terbatas (PT)Email :admin@ctu-indonesia.com,Merek Barang :RugGearStatus :Distributor Tunggal,"Push to Talk Open Cellular (type: RG170, RG360); Smartphone (type: RG655, RG725, RG750, RG530, RG540) & Tablet (type: RG930i, RG935)",Seluruh Indonesia
2797,INTIMEGAH MITRA SEJAHTERAPerseroan Terbatas (PT)Email :perijinan.maria82@aol.com,"Merek Barang :Semen Tiga Roda, Rajawali dan JempolanStatus :Sub Distributor","Semua kantor: Portland Composite Cement 40 kg, Portland Composite Cement 50 kg, Portland Pozzolan Cement 40 kg, Portland Pozzolan Cement 50 kg, Semen Rajawali 40 & 50 kg, Semen Jempolan 40 & 50 kg, Semen Putih 40 kg, Mortar Putih 40 kg, Mortar Abu 40 kg",Seluruh provinsi dan kabupaten di Indonesia
2798,MARTON TEKINDO ABADIPerseroan Terbatas (PT)Email :mtaho@marton.co.id,Merek Barang :ROBITStatus :Distributor Tunggal,"Bits, Rods, Couplings, Shank Adapters,",Seluruh Wilayah Indonesia
2799,PEGASUS INDONESIAPerseroan Terbatas (PT)Email :pt_pegasus_ind@yahoo.com,Merek Barang :NEWLONGStatus :Distributor,"Bagging Machine, Bag Sewing Machine, Bag Closing Machine & Spare Parts",34 Provinsi Republik Indonesia
2800,SINAROZORA LESTARIPerseroan Terbatas (PT)Email :charlespinardo@yahoo.com,Merek Barang :HPFStatus :Distributor Tunggal,"Panel LED P10 Outdoor, Panel LED P8 Outdoor, Panel LED P5 Outdoor, Panel LED 3D P4 Outdoor, Panel LED P4 Logo Outdoor, Panel LED P3.91 Outdoor, Panel LED P2.5 Outdoor, Panel LED P3.91 Interactive Dance Floor Indoor, Panel LED P3.91 Front Access Indoor, Panel LED P2.5 Front Access + GOB Indoor, Panel LED P2.5 Curved Front Access + GOB Indoor, Panel LED P2.5 Digital Poster + GOB Indoor, Panel LED P2.0 Digital Poster + GOB Indoor, Panel LED P2.0 Front Access + GOB Indoor, Panel LED P2.0 Soft Flexible Front Access Indoor, Panel LED P1.8 Front Access + GOB Indoor, Panel LED P1.5 Front Access + GOB Indoor, Panel LED P1.25 Front Access + GOB Indoor, Panel LED P0.9 Front Access + GOB Indoor.",INDONESIA
2801,INTIMEGAH MITRA SEJAHTERAPerseroan Terbatas (PT)Email :perijinan.maria82@aol.com,"Merek Barang :Semen Tiga Roda, Rajawali dan JempolanStatus :Sub Distributor","Semua kantor: Portland Composite Cement 40 kg, Portland Composite Cement 50 kg, Portland Pozzolan Cement 40 kg, Portland Pozzolan Cement 50 kg, Semen Rajawali 40 & 50 kg, Semen Jempolan 40 & 50 kg, Semen Putih 40 kg, Mortar Putih 40 kg, Mortar Abu 40 kg",Seluruh provinsi dan kabupaten di Indonesia
2802,FAJAR MAS MURNIPerseroan Terbatas (PT)Email :legal@fajarmasmurni.com,Merek Barang :FLEX ENERGYStatus :Distributor,"MT250, GT250S and GT333S Systems, including all included and/or attched equipment, accessories, parts, supplies, firmware and software",Indonesia
2803,KRANINDO PRIMAPerseroan Terbatas (PT)Email :import@kranindoprima.com,Merek Barang :FUKUIStatus :Agen Tunggal,Safety Valve ; Spare Part Of Safety Valve ; Gasket For Safety Valve,Indonesia
2804,ANGKASA INDAH MITRAPerseroan Terbatas (PT)Email :perijinan.maria80@aol.com,"Merek Barang :Semen Tiga Roda, Rajawali dan JempolanStatus :Sub Distributor","Portland Composite Cement  (PCC)-40 Kg, Portland Composite Cement (PCC)-50 Kg, Portland Pozzolan Cement (PPC)-40 Kg, Portland Pozzolan Cement-50 Kg, Semen Rajawali 40 & 50 kg, Semen Jempolan 40 & 50 kg, Semen Putih- 40 Kg, Mortar Putih 40 kg, Mortar Abu 40 kg",Seluruh provinsi dan kabupaten di Indonesia
2805,MEGA SENTOSA MANDIRIPerseroan Terbatas (PT)Email :info@megasentosa.com,Merek Barang :PMI (Power Management Instruments)Status :Distributor,"DC CHARGER SYSTEMS, UPS INDUSTRIAL SYSTEMS, INDUSTRIAL BATTEERIES, INVERTER AND AC/DC DISTRIBUTION BOARD",Indonesia
2806,HIMALAYA EVEREST JAYAPerseroan Terbatas (PT)Email :general_affair@hej.co.id,Merek Barang :TOSHIBAStatus :Distributor,"- MEDIUM VOLTAGE ELECTRIC MOTOR
        - LOW VOLTAGE ELECTRIC MOTOR
        - MEDIUM VOLTAGE INVERTER
        - SWITCHGEARS
        - MOTOR CONTROL CENTRE
        - UNINTERRUPTABLE POWER SUPPLY
        - TRANSFORMER",indonesia
2807,GARTALOKA BERSAMAPerseroan Terbatas (PT)Email :purchasing01@bimacorp.com,Merek Barang :PANASONICStatus :Distributor,"LED STREET LIGHT, LED PEDESTRIAN, LED LAMPU TAMAN, LED LAMPU SOROT, LED CEILING UNDERPASS, LED HIGH MAST",Indonesia
2808,CIPTA TEKNIK UTAMAPerseroan Terbatas (PT)Email :admin@ctu-indonesia.com,Merek Barang :RugGearStatus :Distributor Tunggal,"Push to Talk Open Cellular (type: RG170, RG360); Smartphone (type: RG655, RG725, RG750, RG530, RG540) & Tablet (type: RG930i, RG935)",Seluruh Indonesia
2809,DISTRIBUTOR KOMPONEN UTAMAPerseroan Terbatas (PT)Email :hendrian@dku-energy.com,Merek Barang :Air LiquideStatus :Agen,Membran Medal MDL 1240 dan Mdl 5240,Indonesia
2810,PUTRANATA ADI MANDIRIPerseroan Terbatas (PT)Email :alfi.putranata@gmail.com,Merek Barang :SBBStatus :Distributor,Emergency Restoration Systems (ERS),INDONESIA
2811,KRANINDO PRIMAPerseroan Terbatas (PT)Email :import@kranindoprima.com,Merek Barang :NUOVA FIMAStatus :Agen,"Pressure Gauges , Temperature Gauges,  Differential Pressure Gauge - Low Pressure Gauges, Pressure Switches,Diaphragm Seals, Components and accessories,Thermowells",INDONESIA
2812,DUNIA TEHNIKPerseroan Terbatas (PT)Email :ptduniatehnik@gmail.com,Merek Barang :DENYOStatus :Distributor,"Generator set type DCA-10ESX-DA,Generator set Type DCA-18ESX-DA;Generator set Type DCA-25SPX-DA;Generator set DCA-13 ESK-DA;Generator set DCA-15 ESK-DA;Generator set DCA 25 ESK-DA;Generator set DCA-35 SPK-DA;Generator set DSA-32HK5-DA.",Di wilayah seluruh Indonesia
2813,CITRA YALA TAMA RAYAPerseroan Terbatas (PT)Email :citrayalatamaraya@gmail.com,Merek Barang :GPTStatus :Agen Tunggal,Global Petroleum Technologies Jet Pump Systems,Pertamina and Shipping Companies in Indonesia
2814,PUTRANATA ADI MANDIRIPerseroan Terbatas (PT)Email :alfi.putranata@gmail.com,Merek Barang :SBBStatus :Distributor,Emergency Restoration Systems (ERS),INDONESIA
2815,INDOSAMA PERSADAPerseroan Terbatas (PT)Email :hendrian@oil-gas-mining.com,Merek Barang :Atlas CopcoStatus :Distributor,"Power Technique After Market Products : Preventive Maintenance,Critical Parts,Kits,Accessories,Compressor Parts,Pumps Parts,Generator Parts,Multipack ,Lubricant,Oils,Refurbish","JOB Medco (Tomori),Medco E&P Indonesia, Medco E&P (Natuna,Malaka,Rimau,Lematang,Tarakan),Harbour Energy (natuna Area,Belanak,North Belut),Medco E&P Grissik (Java),Pertamina RU III ,IV(Java),Pertamina RU V (Kalimantan),Pertamina RU VI (balongan),Pertamina Drilling Service Indoesia (Java,Sumatra),PHE OSES (madura),PGE Area Ulubelu (sumatra),BP Berau Ltd (Papua),PHE WMO (Java),Pertamina Jembaran Tiuang Biru (Java),Pertamina Hulu Mahakam (kalimantan)u"
2816,DISTRIBUTOR KOMPONEN UTAMAPerseroan Terbatas (PT)Email :hendrian@dku-energy.com,Merek Barang :Air LiquideStatus :Agen,Membran Medal MDL 1240 dan Mdl 5240,Indonesia
2817,ARTHA LINTAS KHATULISTIWAPerseroan Terbatas (PT)Email :alka@sitasagroup.com,Merek Barang :Atlas copcoStatus :Distributor,"Impact Wrenches & RTP, Standard Hydraulic Wrenches, Acta Air Assembly Tools, Pro Assembly Tools, Pro Material Removal Tools, Acta Material Removal Tools, Acta Air Line  Accessories",Indonesia
2818,NIIGATA TECHINDOPerseroan Terbatas (PT)Email :serayufarm@gmail.com,Merek Barang :EagleburgmannStatus :Distributor,"Diaphragm Coupling, Mechanical Seals, Compressor Seals, Expansion Joint, Packing and Gasket",PT. PERTAMINA HULU MAHAKAM-BALIKPAPAN DAN PT. KILANG PERTAMINA BALIKPAPAN
2819,WIFGASINDO DINAMIKA INSTRUMENT ENGINEERINGPerseroan Terbatas (PT)Email :asaku.bsd@gmail.com,Merek Barang :GASENSOR TECHNOLOGYStatus :Agen Tunggal,FIRE AND GAS DETECTION PRODUCTS,Indonesia
2820,SKOTFIRE AND SAFETY TECHNOLOGYPerseroan Terbatas (PT)Email :skotfire@skotfire.com,Merek Barang :NARDIStatus :Distributor,High Pressure Compressors; Medium Pressure Compressors; Low Pressure Compressors; Original Spare Parts Of Nardi Compressori,Indonesia
2821,GAYA MAKMUR TRACTORSPerseroan Terbatas (PT)Email :import@gmtractors.net,Merek Barang :SHANTUIStatus :Distributor Tunggal,Bulldozer,INDONESIA
2822,EMNELTECH SOLUSI INDONESIAPerseroan Terbatas (PT)Email :office@emneltech.com,Merek Barang :CentekStatus :Distributor,"1. Slip On Bow Spring Centralizers :  S2 BOW SPRING CENTRALIZER; S2-HD Heavy Duty Bow Spring Centralizer; OBS-2 Bow Spring Centralizer; OBW Bow Spring Centralizer; OBS Bow Spring Centralizer, 2. Hinged Bow Spring Centralizers: S2 Hinged Bow Spring Centralizer; OBH-W welded hinged Bow Spring Centralizer; OBH Mechanical Hinged Bow Spring Centralizer, 3. Deepwater Bow Spring Centralizers: UROS-CT Close Tolerance Centralizer; TUR-CT Close Tolerance Centralizer; UROS-SUB Centralizer; TUR-SUB Centralizer, 4. Under-reamed Bow Spring Centralizers : UROS Offset Bow Spring Centralizer; TUR Bow Spring Centralizer, 5. Solid Body Centralizers: OSN Solid Body Centralizer, 6. Premium Stop Collars: 00SO Slip on Stop Collar; 00SH Hinged Stop Collar; HDSO Heavy Duty, Slip on Stop Collar; HDSH Heavy Duty, Hinged Stop Collar, 7. Stop Collars : 0SO Slip on Stop Collar",Indonesia
2823,SKOTFIRE AND SAFETY TECHNOLOGYPerseroan Terbatas (PT)Email :skotfire@skotfire.com,Merek Barang :NARDIStatus :Distributor,High Pressure Compressors; Medium Pressure Compressors; Low Pressure Compressors; Original Spare Parts Of Nardi Compressori,Indonesia
2824,ASIA CLEAN ENERGYPerseroan Terbatas (PT)Email :hilda.mulyono@acleanenergy.com,Merek Barang :CHAMPIONStatus :Distributor Tunggal,CHAMPION Spark Plugs; GOETZE Spark Plugs; Federal Mogul Spark Plugs,Indonesia
2825,MULTI TEKNINDO INFOTRONIKAPerseroan Terbatas (PT)Email :info@multiteknindo.com,Merek Barang :MALVERN PANALYTICALStatus :Distributor,"X-Ray Diffraction Systems, X-Ray Spectrometer Systems, Sample  Preparation Systems, CNA Cross Belt Analyzers, Near-Infrared Instruments and related  accessories",INDONESIA
2826,ARTHA LINTAS KHATULISTIWAPerseroan Terbatas (PT)Email :alka@sitasagroup.com,Merek Barang :Atlas copcoStatus :Distributor,"Impact Wrenches & RTP, Standard Hydraulic Wrenches, Acta Air Assembly Tools, Pro Assembly Tools, Pro Material Removal Tools, Acta Material Removal Tools, Acta Air Line  Accessories",Indonesia
